family,k_c,log2_M_c,log2_M_c_minus_log2_p,precision_bits,use_offset,n_samples,seed,aborts,abort_rate,certified_correct,certified_when_wrong,diff_distribution,elapsed_seconds
standard17,12,192.00946193243772,-63.990538067562284,6,False,1000000,826649491959,86105,0.086105,812045,0,"{""-1"": 86105, ""0"": 913895}",4.802
standard17,12,192.00946193243772,-63.990538067562284,6,True,1000000,827032248656,13601,0.013601,812280,0,"{""-1"": 2841, ""0"": 986399, ""1"": 10760}",5.166
standard17,12,192.00946193243772,-63.990538067562284,8,False,1000000,825176260733,21339,0.021339,953092,0,"{""-1"": 21339, ""0"": 978661}",5.15
standard17,12,192.00946193243772,-63.990538067562284,8,True,1000000,827702306774,3513,0.003513,953220,0,"{""-1"": 739, ""0"": 996487, ""1"": 2774}",5.158
standard17,12,192.00946193243772,-63.990538067562284,10,False,1000000,825359318530,5372,0.005372,988331,0,"{""-1"": 5372, ""0"": 994628}",5.221
standard17,12,192.00946193243772,-63.990538067562284,10,True,1000000,825737618779,879,0.000879,988127,0,"{""-1"": 184, ""0"": 999121, ""1"": 695}",5.2
standard17,12,192.00946193243772,-63.990538067562284,12,False,1000000,826882208793,1377,0.001377,996968,0,"{""-1"": 1377, ""0"": 998623}",5.193
standard17,12,192.00946193243772,-63.990538067562284,12,True,1000000,827264965490,209,0.000209,997053,0,"{""-1"": 41, ""0"": 999791, ""1"": 168}",5.22
standard17,12,192.00946193243772,-63.990538067562284,14,False,1000000,824917520798,364,0.000364,999228,0,"{""-1"": 364, ""0"": 999636}",5.23
standard17,12,192.00946193243772,-63.990538067562284,14,True,1000000,825300277495,57,5.7e-05,999279,0,"{""-1"": 8, ""0"": 999943, ""1"": 49}",5.579
standard17,12,192.00946193243772,-63.990538067562284,16,False,1000000,826444867509,101,0.000101,999806,0,"{""-1"": 101, ""0"": 999899}",5.622
standard17,12,192.00946193243772,-63.990538067562284,16,True,1000000,826823167758,11,1.1e-05,999833,0,"{""-1"": 4, ""0"": 999989, ""1"": 7}",5.787
standard17,13,208.01150776267116,-47.98849223732884,6,False,1000000,825146350664,93892,0.093892,796886,0,"{""-1"": 93892, ""0"": 906108}",5.64
standard17,13,208.01150776267116,-47.98849223732884,6,True,1000000,825626376474,12487,0.012487,797085,0,"{""-1"": 6153, ""0"": 987513, ""1"": 6334}",5.535
standard17,13,208.01150776267116,-47.98849223732884,8,False,1000000,826673697375,23674,0.023674,949068,0,"{""-1"": 23674, ""0"": 976326}",5.615
standard17,13,208.01150776267116,-47.98849223732884,8,True,1000000,827052259768,3082,0.003082,949489,0,"{""-1"": 1524, ""0"": 996918, ""1"": 1558}",6.15
standard17,13,208.01150776267116,-47.98849223732884,10,False,1000000,828149047379,5981,0.005981,987276,0,"{""-1"": 5981, ""0"": 994019}",6.013
standard17,13,208.01150776267116,-47.98849223732884,10,True,1000000,826481327397,801,0.000801,987362,0,"{""-1"": 389, ""0"": 999199, ""1"": 412}",5.625
standard17,13,208.01150776267116,-47.98849223732884,12,False,1000000,825379067498,1496,0.001496,996785,0,"{""-1"": 1496, ""0"": 998504}",5.622
standard17,13,208.01150776267116,-47.98849223732884,12,True,1000000,828006576956,178,0.000178,996894,0,"{""-1"": 88, ""0"": 999822, ""1"": 90}",5.635
standard17,13,208.01150776267116,-47.98849223732884,14,False,1000000,827711443951,346,0.000346,999224,0,"{""-1"": 346, ""0"": 999654}",5.615
standard17,13,208.01150776267116,-47.98849223732884,14,True,1000000,826041888961,52,5.2e-05,999170,0,"{""-1"": 29, ""0"": 999948, ""1"": 23}",5.616
standard17,13,208.01150776267116,-47.98849223732884,16,False,1000000,824941726214,92,9.2e-05,999811,0,"{""-1"": 92, ""0"": 999908}",5.983
standard17,13,208.01150776267116,-47.98849223732884,16,True,1000000,825320026463,19,1.9e-05,999792,0,"{""-1"": 7, ""0"": 999981, ""1"": 12}",5.962
standard17,14,224.01364152056328,-31.986358479436717,6,False,1000000,826129693451,101808,0.101808,780722,0,"{""-1"": 101808, ""0"": 898192}",5.907
standard17,14,224.01364152056328,-31.986358479436717,6,True,1000000,828659933796,14472,0.014472,780619,0,"{""-1"": 3382, ""0"": 985528, ""1"": 11090}",5.998
standard17,14,224.01364152056328,-31.986358479436717,8,False,1000000,826314848400,25555,0.025555,945236,0,"{""-1"": 25555, ""0"": 974445}",5.934
standard17,14,224.01364152056328,-31.986358479436717,8,True,1000000,826693148649,3634,0.003634,945626,0,"{""-1"": 843, ""0"": 996366, ""1"": 2791}",5.866
standard17,14,224.01364152056328,-31.986358479436717,10,False,1000000,824837160726,6342,0.006342,986225,0,"{""-1"": 6342, ""0"": 993658}",6.602
standard17,14,224.01364152056328,-31.986358479436717,10,True,1000000,825219917423,898,0.000898,986295,0,"{""-1"": 196, ""0"": 999102, ""1"": 702}",6.214
standard17,14,224.01364152056328,-31.986358479436717,12,False,1000000,827167702171,1547,0.001547,996576,0,"{""-1"": 1547, ""0"": 998453}",6.011
standard17,14,224.01364152056328,-31.986358479436717,12,True,1000000,825499982189,212,0.000212,996561,0,"{""-1"": 47, ""0"": 999788, ""1"": 165}",6.203
standard17,14,224.01364152056328,-31.986358479436717,14,False,1000000,828692689586,422,0.000422,999082,0,"{""-1"": 422, ""0"": 999578}",5.959
standard17,14,224.01364152056328,-31.986358479436717,14,True,1000000,824780478987,69,6.9e-05,999154,0,"{""-1"": 15, ""0"": 999931, ""1"": 54}",5.963
standard17,14,224.01364152056328,-31.986358479436717,16,False,1000000,826730098743,90,9e-05,999800,0,"{""-1"": 90, ""0"": 999910}",6.33
standard17,14,224.01364152056328,-31.986358479436717,16,True,1000000,827108661136,17,1.7e-05,999783,0,"{""-1"": 4, ""0"": 999983, ""1"": 13}",6.345
standard17,15,240.01608298306616,-15.983917016933844,6,False,1000000,826776132956,109399,0.109399,765438,0,"{""-1"": 109399, ""0"": 890601}",6.973
standard17,15,240.01608298306616,-15.983917016933844,6,True,1000000,825106577966,13641,0.013641,766133,0,"{""-1"": 6870, ""0"": 986359, ""1"": 6771}",6.614
standard17,15,240.01608298306616,-15.983917016933844,8,False,1000000,828301120371,27096,0.027096,941813,0,"{""-1"": 27096, ""0"": 972904}",6.463
standard17,15,240.01608298306616,-15.983917016933844,8,True,1000000,826633662533,3359,0.003359,941359,0,"{""-1"": 1642, ""0"": 996641, ""1"": 1717}",7.057
standard17,15,240.01608298306616,-15.983917016933844,10,False,1000000,825582966496,6907,0.006907,985236,0,"{""-1"": 6907, ""0"": 993093}",7.046
standard17,15,240.01608298306616,-15.983917016933844,10,True,1000000,825961528889,861,0.000861,985189,0,"{""-1"": 410, ""0"": 999139, ""1"": 451}",6.669
standard17,15,240.01608298306616,-15.983917016933844,12,False,1000000,824861366142,1735,0.001735,996278,0,"{""-1"": 1735, ""0"": 998265}",6.363
standard17,15,240.01608298306616,-15.983917016933844,12,True,1000000,827486516304,195,0.000195,996427,0,"{""-1"": 98, ""0"": 999805, ""1"": 97}",6.558
standard17,15,240.01608298306616,-15.983917016933844,14,False,1000000,827191645443,454,0.000454,999032,0,"{""-1"": 454, ""0"": 999546}",6.635
standard17,15,240.01608298306616,-15.983917016933844,14,True,1000000,825524187605,57,5.7e-05,999119,0,"{""-1"": 32, ""0"": 999943, ""1"": 25}",6.364
standard17,15,240.01608298306616,-15.983917016933844,16,False,1000000,828716632858,115,0.000115,999773,0,"{""-1"": 115, ""0"": 999885}",7.064
standard17,15,240.01608298306616,-15.983917016933844,16,True,1000000,827049175020,11,1.1e-05,999781,0,"{""-1"": 4, ""0"": 999989, ""1"": 7}",6.72
standard17,16,256.0186123491192,0.01861234911922338,6,False,1000000,828343226083,117982,0.117982,749200,0,"{""-1"": 117982, ""0"": 882018}",6.618
standard17,16,256.0186123491192,0.01861234911922338,6,True,1000000,828721788476,15363,0.015363,749707,0,"{""-1"": 3755, ""0"": 984637, ""1"": 11608}",7.132
standard17,16,256.0186123491192,0.01861234911922338,8,False,1000000,825523608791,29229,0.029229,937722,0,"{""-1"": 29229, ""0"": 970771}",6.817
standard17,16,256.0186123491192,0.01861234911922338,8,True,1000000,828151118249,3765,0.003765,937909,0,"{""-1"": 941, ""0"": 996235, ""1"": 2824}",6.684
standard17,16,256.0186123491192,0.01861234911922338,10,False,1000000,827050693358,7484,0.007484,984251,0,"{""-1"": 7484, ""0"": 992516}",6.769
standard17,16,256.0186123491192,0.01861234911922338,10,True,1000000,825381138368,971,0.000971,984450,0,"{""-1"": 214, ""0"": 999029, ""1"": 757}",7.189
standard17,16,256.0186123491192,0.01861234911922338,12,False,1000000,825086267507,1859,0.001859,996082,0,"{""-1"": 1859, ""0"": 998141}",6.948
standard17,16,256.0186123491192,0.01861234911922338,12,True,1000000,827713776965,219,0.000219,996104,0,"{""-1"": 52, ""0"": 999781, ""1"": 167}",6.692
standard17,16,256.0186123491192,0.01861234911922338,14,False,1000000,826611254922,501,0.000501,998966,0,"{""-1"": 501, ""0"": 999499}",6.746
standard17,16,256.0186123491192,0.01861234911922338,14,True,1000000,824943797084,63,6.3e-05,998984,0,"{""-1"": 15, ""0"": 999937, ""1"": 48}",7.255
standard17,16,256.0186123491192,0.01861234911922338,16,False,1000000,825986661537,122,0.000122,999764,0,"{""-1"": 122, ""0"": 999878}",7.073
standard17,16,256.0186123491192,0.01861234911922338,16,True,1000000,828516901882,20,2e-05,999747,0,"{""-1"": 7, ""0"": 999980, ""1"": 13}",7.106
standard17,17,272.0212735604559,16.02127356045588,6,False,1000000,824789870253,125551,0.125551,733885,0,"{""-1"": 125551, ""0"": 874449}",7.052
standard17,17,272.0212735604559,16.02127356045588,6,True,1000000,825172626950,14457,0.014457,733969,0,"{""-1"": 7185, ""0"": 985543, ""1"": 7272}",7.074
standard17,17,272.0212735604559,16.02127356045588,8,False,1000000,827611606323,31325,0.031325,933492,0,"{""-1"": 31325, ""0"": 968675}",7.077
standard17,17,272.0212735604559,16.02127356045588,8,True,1000000,825842685068,3596,0.003596,933769,0,"{""-1"": 1811, ""0"": 996404, ""1"": 1785}",6.776
standard17,17,272.0212735604559,16.02127356045588,10,False,1000000,827792304824,7920,0.00792,983102,0,"{""-1"": 7920, ""0"": 992080}",7.072
standard17,17,272.0212735604559,16.02127356045588,10,True,1000000,828175061521,880,0.00088,983664,0,"{""-1"": 431, ""0"": 999120, ""1"": 449}",9.018
standard17,17,272.0212735604559,16.02127356045588,12,False,1000000,825022587087,1917,0.001917,995834,0,"{""-1"": 1917, ""0"": 998083}",6.319
standard17,17,272.0212735604559,16.02127356045588,12,True,1000000,825405081640,237,0.000237,995826,0,"{""-1"": 123, ""0"": 999763, ""1"": 114}",6.584
standard17,17,272.0212735604559,16.02127356045588,14,False,1000000,827354963540,481,0.000481,998999,0,"{""-1"": 481, ""0"": 999519}",9.25
standard17,17,272.0212735604559,16.02127356045588,14,True,1000000,827733525933,67,6.7e-05,998932,0,"{""-1"": 32, ""0"": 999933, ""1"": 35}",8.966
standard17,17,272.0212735604559,16.02127356045588,16,False,1000000,828879950955,125,0.000125,999748,0,"{""-1"": 125, ""0"": 999875}",9.259
standard17,17,272.0212735604559,16.02127356045588,16,True,1000000,824963546052,13,1.3e-05,999731,0,"{""-1"": 3, ""0"": 999987, ""1"": 10}",9.435
wide20,12,240.00111989781973,-15.998880102180266,6,False,1000000,827668979375,86339,0.086339,812872,0,"{""-1"": 86339, ""0"": 913661}",6.305
wide20,12,240.00111989781973,-15.998880102180266,6,True,1000000,826001521537,13419,0.013419,812710,0,"{""-1"": 2853, ""0"": 986581, ""1"": 10566}",6.764
wide20,12,240.00111989781973,-15.998880102180266,8,False,1000000,827953500589,21284,0.021284,953334,0,"{""-1"": 21284, ""0"": 978716}",6.038
wide20,12,240.00111989781973,-15.998880102180266,8,True,1000000,826184317190,3523,0.003523,953213,0,"{""-1"": 751, ""0"": 996477, ""1"": 2772}",6.522
wide20,12,240.00111989781973,-15.998880102180266,10,False,1000000,827231638091,5264,0.005264,988352,0,"{""-1"": 5264, ""0"": 994736}",6.275
wide20,12,240.00111989781973,-15.998880102180266,10,True,1000000,825564180253,828,0.000828,988369,0,"{""-1"": 194, ""0"": 999172, ""1"": 634}",6.936
wide20,12,240.00111989781973,-15.998880102180266,12,False,1000000,827511702857,1341,0.001341,997101,0,"{""-1"": 1341, ""0"": 998659}",6.953
wide20,12,240.00111989781973,-15.998880102180266,12,True,1000000,825746975906,216,0.000216,997060,0,"{""-1"": 45, ""0"": 999784, ""1"": 171}",6.984
wide20,12,240.00111989781973,-15.998880102180266,14,False,1000000,826790102503,332,0.000332,999243,0,"{""-1"": 332, ""0"": 999668}",6.656
wide20,12,240.00111989781973,-15.998880102180266,14,True,1000000,827269866169,54,5.4e-05,999353,0,"{""-1"": 17, ""0"": 999946, ""1"": 37}",6.422
wide20,12,240.00111989781973,-15.998880102180266,16,False,1000000,824825414508,72,7.2e-05,999815,0,"{""-1"": 72, ""0"": 999928}",6.669
wide20,12,240.00111989781973,-15.998880102180266,16,True,1000000,825305440318,10,1e-05,999824,0,"{""-1"": 2, ""0"": 999990, ""1"": 8}",6.453
wide20,13,260.0013193839023,4.001319383902285,6,False,1000000,828414785145,93533,0.093533,797194,0,"{""-1"": 93533, ""0"": 906467}",6.291
wide20,13,260.0013193839023,4.001319383902285,6,True,1000000,826645863890,12394,0.012394,796606,0,"{""-1"": 6141, ""0"": 987606, ""1"": 6253}",6.249
wide20,13,260.0013193839023,4.001319383902285,8,False,1000000,826448262142,23439,0.023439,949380,0,"{""-1"": 23439, ""0"": 976561}",7.103
wide20,13,260.0013193839023,4.001319383902285,8,True,1000000,826928025808,3141,0.003141,949418,0,"{""-1"": 1600, ""0"": 996859, ""1"": 1541}",5.817
wide20,13,260.0013193839023,4.001319383902285,10,False,1000000,827973249557,5881,0.005881,987173,0,"{""-1"": 5881, ""0"": 994119}",5.901
wide20,13,260.0013193839023,4.001319383902285,10,True,1000000,826208522606,770,0.00077,987483,0,"{""-1"": 387, ""0"": 999230, ""1"": 383}",5.051
wide20,13,260.0013193839023,4.001319383902285,12,False,1000000,825205366828,1398,0.001398,996927,0,"{""-1"": 1398, ""0"": 998602}",5.318
wide20,13,260.0013193839023,4.001319383902285,12,True,1000000,827731412869,188,0.000188,996903,0,"{""-1"": 95, ""0"": 999812, ""1"": 93}",5.445
wide20,13,260.0013193839023,4.001319383902285,14,False,1000000,827535908273,336,0.000336,999273,0,"{""-1"": 336, ""0"": 999664}",6.239
wide20,13,260.0013193839023,4.001319383902285,14,True,1000000,825766724874,50,5e-05,999232,0,"{""-1"": 24, ""0"": 999950, ""1"": 26}",5.996
wide20,13,260.0013193839023,4.001319383902285,16,False,1000000,824763831240,106,0.000106,999781,0,"{""-1"": 106, ""0"": 999894}",6.813
wide20,13,260.0013193839023,4.001319383902285,16,True,1000000,827294071585,9,9e-06,999775,0,"{""-1"": 5, ""0"": 999991, ""1"": 4}",6.112
wide20,14,280.00157114453486,24.001571144534864,6,False,1000000,827832297472,101233,0.101233,781882,0,"{""-1"": 101233, ""0"": 898767}",5.865
wide20,14,280.00157114453486,24.001571144534864,6,True,1000000,828215054169,14271,0.014271,782300,0,"{""-1"": 3235, ""0"": 985729, ""1"": 11036}",5.855
