family,k_c,log2_M_c,log2_M_c_minus_log2_p,distribution,precision_bits,use_offset,n_samples,seed,aborts,abort_rate,certified_correct,certified_when_wrong,diff_distribution,elapsed_seconds
standard17,12,192.00946193243772,-63.990538067562284,product_modMc,6,False,1000000,12841861915438,86136,0.086136,812250,0,"{""-1"": 86136, ""0"": 913864}",4.383
standard17,12,192.00946193243772,-63.990538067562284,product_modMc,6,True,1000000,12839154270208,13643,0.013643,812442,0,"{""-1"": 2878, ""0"": 986357, ""1"": 10765}",5.006
standard17,12,192.00946193243772,-63.990538067562284,product_modMc,8,False,1000000,12838186228037,21592,0.021592,953131,0,"{""-1"": 21592, ""0"": 978408}",5.722
standard17,12,192.00946193243772,-63.990538067562284,product_modMc,8,True,1000000,12841719445015,3304,0.003304,952922,0,"{""-1"": 703, ""0"": 996696, ""1"": 2601}",4.627
standard17,12,192.00946193243772,-63.990538067562284,product_modMc,10,False,1000000,12839811864266,5408,0.005408,988299,0,"{""-1"": 5408, ""0"": 994592}",4.079
standard17,12,192.00946193243772,-63.990538067562284,product_modMc,10,True,1000000,12839385920412,863,0.000863,988117,0,"{""-1"": 175, ""0"": 999137, ""1"": 688}",4.095
standard17,12,192.00946193243772,-63.990538067562284,product_modMc,12,False,1000000,12838283398369,1304,0.001304,997100,0,"{""-1"": 1304, ""0"": 998696}",5.423
standard17,12,192.00946193243772,-63.990538067562284,product_modMc,12,True,1000000,12840239819187,195,0.000195,996996,0,"{""-1"": 41, ""0"": 999805, ""1"": 154}",5.827
standard17,12,192.00946193243772,-63.990538067562284,product_modMc,14,False,1000000,12840580385382,357,0.000357,999260,0,"{""-1"": 357, ""0"": 999643}",5.716
standard17,12,192.00946193243772,-63.990538067562284,product_modMc,14,True,1000000,12837704705848,56,5.6e-05,999237,0,"{""-1"": 11, ""0"": 999944, ""1"": 45}",5.576
standard17,12,192.00946193243772,-63.990538067562284,product_modMc,16,False,1000000,12840930967677,77,7.7e-05,999812,0,"{""-1"": 77, ""0"": 999923}",5.999
standard17,12,192.00946193243772,-63.990538067562284,product_modMc,16,True,1000000,12838627272662,17,1.7e-05,999820,0,"{""-1"": 1, ""0"": 999983, ""1"": 16}",6.171
standard17,13,208.01150776267116,-47.98849223732884,product_modMc,6,False,1000000,12838801782942,93394,0.093394,797291,0,"{""-1"": 93394, ""0"": 906606}",5.897
