family,k_c,log2_M_c,log2_M_c_minus_log2_p,precision_bits,use_offset,n_samples,seed,aborts,abort_rate,certified_correct,certified_when_wrong,diff_distribution,elapsed_seconds
standard17,12,192.00946193243772,-63.990538067562284,6,False,1000000,223193814874241,85795,0.085795,812727,0,"{""-1"": 85795, ""0"": 914205}",3.813
standard17,12,192.00946193243772,-63.990538067562284,6,True,1000000,223193971138522,13397,0.013397,812645,0,"{""-1"": 2870, ""0"": 986603, ""1"": 10527}",3.783
standard17,12,192.00946193243772,-63.990538067562284,8,False,1000000,223195778283014,21338,0.021338,953289,0,"{""-1"": 21338, ""0"": 978662}",3.825
standard17,12,192.00946193243772,-63.990538067562284,8,True,1000000,223196471418207,3265,0.003265,953320,0,"{""-1"": 711, ""0"": 996735, ""1"": 2554}",3.837
standard17,12,192.00946193243772,-63.990538067562284,10,False,1000000,223193180662813,5467,0.005467,988259,0,"{""-1"": 5467, ""0"": 994533}",3.865
standard17,12,192.00946193243772,-63.990538067562284,10,True,1000000,223193873666934,894,0.000894,988206,0,"{""-1"": 190, ""0"": 999106, ""1"": 704}",3.903
standard17,12,192.00946193243772,-63.990538067562284,12,False,1000000,223195680549282,1272,0.001272,997101,0,"{""-1"": 1272, ""0"": 998728}",3.828
standard17,12,192.00946193243772,-63.990538067562284,12,True,1000000,223195836813563,209,0.000209,997055,0,"{""-1"": 35, ""0"": 999791, ""1"": 174}",3.866
standard17,12,192.00946193243772,-63.990538067562284,14,False,1000000,223194793142848,342,0.000342,999288,0,"{""-1"": 342, ""0"": 999658}",3.89
standard17,12,192.00946193243772,-63.990538067562284,14,True,1000000,223193239062290,65,6.5e-05,999251,0,"{""-1"": 13, ""0"": 999935, ""1"": 52}",3.892
standard17,12,192.00946193243772,-63.990538067562284,16,False,1000000,223194289581485,79,7.9e-05,999800,0,"{""-1"": 79, ""0"": 999921}",4.238
standard17,12,192.00946193243772,-63.990538067562284,16,True,1000000,223194445976838,16,1.6e-05,999832,0,"{""-1"": 3, ""0"": 999984, ""1"": 13}",4.463
standard17,13,208.01150776267116,-47.98849223732884,6,False,1000000,223196390693586,93457,0.093457,796646,0,"{""-1"": 93457, ""0"": 906543}",4.003
standard17,13,208.01150776267116,-47.98849223732884,6,True,1000000,223194836481956,12530,0.01253,796016,0,"{""-1"": 6279, ""0"": 987470, ""1"": 6251}",4.002
standard17,13,208.01150776267116,-47.98849223732884,8,False,1000000,223193792811241,23519,0.023519,948996,0,"{""-1"": 23519, ""0"": 976481}",4.021
standard17,13,208.01150776267116,-47.98849223732884,8,True,1000000,223193949075522,3029,0.003029,949471,0,"{""-1"": 1524, ""0"": 996971, ""1"": 1505}",4.068
standard17,13,208.01150776267116,-47.98849223732884,10,False,1000000,223196293353070,5716,0.005716,987424,0,"{""-1"": 5716, ""0"": 994284}",4.09
standard17,13,208.01150776267116,-47.98849223732884,10,True,1000000,223194202139456,794,0.000794,987310,0,"{""-1"": 390, ""0"": 999206, ""1"": 404}",4.377
standard17,13,208.01150776267116,-47.98849223732884,12,False,1000000,223193158206597,1480,0.00148,996881,0,"{""-1"": 1480, ""0"": 998520}",4.2
standard17,13,208.01150776267116,-47.98849223732884,12,True,1000000,223193851341790,206,0.000206,996777,0,"{""-1"": 100, ""0"": 999794, ""1"": 106}",4.177
standard17,13,208.01150776267116,-47.98849223732884,14,False,1000000,223195658486282,359,0.000359,999199,0,"{""-1"": 359, ""0"": 999641}",4.18
standard17,13,208.01150776267116,-47.98849223732884,14,True,1000000,223193667266915,51,5.1e-05,999188,0,"{""-1"": 28, ""0"": 999949, ""1"": 23}",4.455
standard17,13,208.01150776267116,-47.98849223732884,16,False,1000000,223193060866081,94,9.4e-05,999812,0,"{""-1"": 94, ""0"": 999906}",4.514
standard17,13,208.01150776267116,-47.98849223732884,16,True,1000000,223193216999290,15,1.5e-05,999806,0,"{""-1"": 7, ""0"": 999985, ""1"": 8}",4.514
standard17,14,224.01364152056328,-31.986358479436717,6,False,1000000,223193259424149,101359,0.101359,781695,0,"{""-1"": 101359, ""0"": 898641}",4.535
standard17,14,224.01364152056328,-31.986358479436717,6,True,1000000,223195563041006,14228,0.014228,781184,0,"{""-1"": 3318, ""0"": 985772, ""1"": 10910}",4.378
standard17,14,224.01364152056328,-31.986358479436717,8,False,1000000,223195224930074,25290,0.02529,945567,0,"{""-1"": 25290, ""0"": 974710}",4.812
standard17,14,224.01364152056328,-31.986358479436717,8,True,1000000,223193770712691,3634,0.003634,945070,0,"{""-1"": 852, ""0"": 996366, ""1"": 2782}",4.772
standard17,14,224.01364152056328,-31.986358479436717,10,False,1000000,223192625081649,6195,0.006195,986432,0,"{""-1"": 6195, ""0"": 993805}",5.012
standard17,14,224.01364152056328,-31.986358479436717,10,True,1000000,223195465700490,883,0.000883,986483,0,"{""-1"": 195, ""0"": 999117, ""1"": 688}",4.673
standard17,14,224.01364152056328,-31.986358479436717,12,False,1000000,223192979712694,1568,0.001568,996609,0,"{""-1"": 1568, ""0"": 998432}",4.651
standard17,14,224.01364152056328,-31.986358479436717,12,True,1000000,223193135845903,252,0.000252,996590,0,"{""-1"": 52, ""0"": 999748, ""1"": 200}",4.758
standard17,14,224.01364152056328,-31.986358479436717,14,False,1000000,223192529445069,399,0.000399,999127,0,"{""-1"": 399, ""0"": 999601}",5.257
standard17,14,224.01364152056328,-31.986358479436717,14,True,1000000,223194833192998,61,6.1e-05,999142,0,"{""-1"": 17, ""0"": 999939, ""1"": 44}",5.372
standard17,14,224.01364152056328,-31.986358479436717,16,False,1000000,223192345370194,116,0.000116,999768,0,"{""-1"": 116, ""0"": 999884}",6.409
standard17,14,224.01364152056328,-31.986358479436717,16,True,1000000,223193038505387,8,8e-06,999768,0,"{""-1"": 2, ""0"": 999992, ""1"": 6}",6.4
standard17,15,240.01608298306616,-15.983917016933844,6,False,1000000,223195837340646,109450,0.10945,765948,0,"{""-1"": 109450, ""0"": 890550}",6.391
standard17,15,240.01608298306616,-15.983917016933844,6,True,1000000,223196430481592,13348,0.013348,765598,0,"{""-1"": 6747, ""0"": 986652, ""1"": 6601}",6.616
standard17,15,240.01608298306616,-15.983917016933844,8,False,1000000,223193945018084,27432,0.027432,941489,0,"{""-1"": 27432, ""0"": 972568}",6.503
standard17,15,240.01608298306616,-15.983917016933844,8,True,1000000,223194638153277,3378,0.003378,941519,0,"{""-1"": 1715, ""0"": 996622, ""1"": 1663}",6.033
standard17,15,240.01608298306616,-15.983917016933844,10,False,1000000,223193592385410,6754,0.006754,985430,0,"{""-1"": 6754, ""0"": 993246}",6.58
standard17,15,240.01608298306616,-15.983917016933844,10,True,1000000,223195796270164,889,0.000889,985497,0,"{""-1"": 433, ""0"": 999111, ""1"": 456}",6.618
standard17,15,240.01608298306616,-15.983917016933844,12,False,1000000,223195557629191,1753,0.001753,996217,0,"{""-1"": 1753, ""0"": 998247}",6.473
standard17,15,240.01608298306616,-15.983917016933844,12,True,1000000,223194003286489,201,0.000201,996376,0,"{""-1"": 99, ""0"": 999799, ""1"": 102}",6.418
standard17,15,240.01608298306616,-15.983917016933844,14,False,1000000,223192957780766,444,0.000444,999036,0,"{""-1"": 444, ""0"": 999556}",6.459
standard17,15,240.01608298306616,-15.983917016933844,14,True,1000000,223195698536432,46,4.6e-05,999079,0,"{""-1"": 25, ""0"": 999954, ""1"": 21}",6.51
standard17,15,240.01608298306616,-15.983917016933844,16,False,1000000,223195460157603,98,9.8e-05,999781,0,"{""-1"": 98, ""0"": 999902}",6.581
standard17,15,240.01608298306616,-15.983917016933844,16,True,1000000,223193369075061,14,1.4e-05,999757,0,"{""-1"": 8, ""0"": 999986, ""1"": 6}",5.277
standard17,16,256.0186123491192,0.01861234911922338,6,False,1000000,223195342933357,117229,0.117229,749847,0,"{""-1"": 117229, ""0"": 882771}",5.21
standard17,16,256.0186123491192,0.01861234911922338,6,True,1000000,223195499197638,15473,0.015473,750650,0,"{""-1"": 3772, ""0"": 984527, ""1"": 11701}",5.143
standard17,16,256.0186123491192,0.01861234911922338,8,False,1000000,223193550342898,29100,0.0291,937813,0,"{""-1"": 29100, ""0"": 970900}",5.875
standard17,16,256.0186123491192,0.01861234911922338,8,True,1000000,223196291229636,3922,0.003922,937513,0,"{""-1"": 989, ""0"": 996078, ""1"": 2933}",5.192
standard17,16,256.0186123491192,0.01861234911922338,10,False,1000000,223194708590857,7202,0.007202,984492,0,"{""-1"": 7202, ""0"": 992798}",5.537
standard17,16,256.0186123491192,0.01861234911922338,10,True,1000000,223195401726050,966,0.000966,984360,0,"{""-1"": 234, ""0"": 999034, ""1"": 732}",5.268
standard17,16,256.0186123491192,0.01861234911922338,12,False,1000000,223192915738254,1780,0.00178,996117,0,"{""-1"": 1780, ""0"": 998220}",5.542
standard17,16,256.0186123491192,0.01861234911922338,12,True,1000000,223195656362848,225,0.000225,996172,0,"{""-1"": 66, ""0"": 999775, ""1"": 159}",5.236
standard17,16,256.0186123491192,0.01861234911922338,14,False,1000000,223194612823205,411,0.000411,999030,0,"{""-1"": 411, ""0"": 999589}",5.363
standard17,16,256.0186123491192,0.01861234911922338,14,True,1000000,223194769218558,57,5.7e-05,999068,0,"{""-1"": 17, ""0"": 999943, ""1"": 40}",5.586
standard17,16,256.0186123491192,0.01861234911922338,16,False,1000000,223195819868825,123,0.000123,999753,0,"{""-1"": 123, ""0"": 999877}",5.764
standard17,16,256.0186123491192,0.01861234911922338,16,True,1000000,223194265657195,17,1.7e-05,999749,0,"{""-1"": 3, ""0"": 999983, ""1"": 14}",5.568
standard17,17,272.0212735604559,16.02127356045588,6,False,1000000,223196210373943,124353,0.124353,735097,0,"{""-1"": 124353, ""0"": 875647}",5.47
standard17,17,272.0212735604559,16.02127356045588,6,True,1000000,223196366507152,14488,0.014488,733970,0,"{""-1"": 7312, ""0"": 985512, ""1"": 7176}",5.455
standard17,17,272.0212735604559,16.02127356045588,8,False,1000000,223194417783484,31185,0.031185,933595,0,"{""-1"": 31185, ""0"": 968815}",5.386
standard17,17,272.0212735604559,16.02127356045588,8,True,1000000,223194574178837,3557,0.003557,933619,0,"{""-1"": 1773, ""0"": 996443, ""1"": 1784}",5.438
standard17,17,272.0212735604559,16.02127356045588,10,False,1000000,223195576031443,7767,0.007767,983588,0,"{""-1"": 7767, ""0"": 992233}",5.43
standard17,17,272.0212735604559,16.02127356045588,10,True,1000000,223196269166636,884,0.000884,983484,0,"{""-1"": 432, ""0"": 999116, ""1"": 452}",5.444
standard17,17,272.0212735604559,16.02127356045588,12,False,1000000,223194688362865,1970,0.00197,995829,0,"{""-1"": 1970, ""0"": 998030}",5.454
standard17,17,272.0212735604559,16.02127356045588,12,True,1000000,223193134020163,195,0.000195,995907,0,"{""-1"": 93, ""0"": 999805, ""1"": 102}",5.467
standard17,17,272.0212735604559,16.02127356045588,14,False,1000000,223192893675254,492,0.000492,998934,0,"{""-1"": 492, ""0"": 999508}",5.501
standard17,17,272.0212735604559,16.02127356045588,14,True,1000000,223195634561992,57,5.7e-05,998931,0,"{""-1"": 34, ""0"": 999943, ""1"": 23}",5.547
standard17,17,272.0212735604559,16.02127356045588,16,False,1000000,223193732436725,125,0.000125,999715,0,"{""-1"": 125, ""0"": 999875}",5.836
