family,k_c,log2_M_c,log2_M_c_minus_log2_p,target_frac,pool_size,rejection_attempts,rejection_rate,precision_bits,use_offset,seed,aborts,abort_rate,certified_correct,certified_when_wrong,diff_distribution
standard17,13,208.01150776267116,-47.98849223732884,0.001,10000,9863957,0.001013791929547138,6,False,191035533549083,10000,1.0,0,0,"{""-1"": 10000}"
standard17,13,208.01150776267116,-47.98849223732884,0.001,10000,9863957,0.001013791929547138,6,True,191035533549083,4882,0.4882,0,0,"{""-1"": 4882, ""0"": 5118}"
standard17,13,208.01150776267116,-47.98849223732884,0.001,10000,9863957,0.001013791929547138,8,False,191035533549083,10000,1.0,0,0,"{""-1"": 10000}"
standard17,13,208.01150776267116,-47.98849223732884,0.001,10000,9863957,0.001013791929547138,8,True,191035533549083,4474,0.4474,0,0,"{""-1"": 4474, ""0"": 5526}"
standard17,13,208.01150776267116,-47.98849223732884,0.001,10000,9863957,0.001013791929547138,10,False,191035533549083,10000,1.0,0,0,"{""-1"": 10000}"
standard17,13,208.01150776267116,-47.98849223732884,0.001,10000,9863957,0.001013791929547138,10,True,191035533549083,3145,0.3145,0,0,"{""-1"": 3145, ""0"": 6855}"
standard17,13,208.01150776267116,-47.98849223732884,0.001,10000,9863957,0.001013791929547138,12,False,191035533549083,9970,0.997,30,0,"{""-1"": 9970, ""0"": 30}"
standard17,13,208.01150776267116,-47.98849223732884,0.001,10000,9863957,0.001013791929547138,12,True,191035533549083,1002,0.1002,30,0,"{""-1"": 1002, ""0"": 8998}"
standard17,13,208.01150776267116,-47.98849223732884,0.001,10000,9863957,0.001013791929547138,14,False,191035533549083,3613,0.3613,6387,0,"{""-1"": 3613, ""0"": 6387}"
standard17,13,208.01150776267116,-47.98849223732884,0.001,10000,9863957,0.001013791929547138,14,True,191035533549083,256,0.0256,6387,0,"{""-1"": 256, ""0"": 9744}"
standard17,13,208.01150776267116,-47.98849223732884,0.001,10000,9863957,0.001013791929547138,16,False,191035533549083,923,0.0923,9077,0,"{""-1"": 923, ""0"": 9077}"
standard17,13,208.01150776267116,-47.98849223732884,0.001,10000,9863957,0.001013791929547138,16,True,191035533549083,70,0.007,9077,0,"{""-1"": 70, ""0"": 9930}"
standard17,13,208.01150776267116,-47.98849223732884,0.005,10000,2010756,0.004973253840843941,6,False,191033862995640,10000,1.0,0,0,"{""-1"": 10000}"
standard17,13,208.01150776267116,-47.98849223732884,0.005,10000,2010756,0.004973253840843941,6,True,191033862995640,4441,0.4441,0,0,"{""-1"": 4441, ""0"": 5559}"
standard17,13,208.01150776267116,-47.98849223732884,0.005,10000,2010756,0.004973253840843941,8,False,191033862995640,10000,1.0,0,0,"{""-1"": 10000}"
standard17,13,208.01150776267116,-47.98849223732884,0.005,10000,2010756,0.004973253840843941,8,True,191033862995640,2778,0.2778,0,0,"{""-1"": 2778, ""0"": 7222}"
standard17,13,208.01150776267116,-47.98849223732884,0.005,10000,2010756,0.004973253840843941,10,False,191033862995640,9813,0.9813,187,0,"{""-1"": 9813, ""0"": 187}"
standard17,13,208.01150776267116,-47.98849223732884,0.005,10000,2010756,0.004973253840843941,10,True,191033862995640,762,0.0762,187,0,"{""-1"": 762, ""0"": 9238}"
